# Test data for the glSDL video driver (fps)
# Note:  The data with 0s is to make labels appear correctly, really indicate missing data
                                  "Surface Flags"                                          "0"                              "SDL_HWSURFACE"                            "SDL_SRCCOLORKEY"              "SDL_HWSURFACE|SDL_SRCCOLORKEY"               "SDL_SRCCOLORKEY|SDL_RLEACCEL"                               "SDL_SRCALPHA"                 "SDL_HWSURFACE|SDL_SRCALPHA"
                                              "0"                                       71.398                                            -                                      49.8331                                            -                                       73.497                                      64.4745                                            -
                                 "SDL_FULLSCREEN"                                      73.0994                                            -                                      50.9476                                            -                                      75.4774                                      66.0851                                            -
                                  "SDL_HWSURFACE"                                            0                                      610.501                                            -                                      657.895                                            -                                            -                                      659.196
                 "SDL_FULLSCREEN|\nSDL_HWSURFACE"                                            0                                      747.384                                            -                                      746.826                                            -                                            -                                      747.384
                  "SDL_HWSURFACE|\nSDL_DOUBLEBUF"                                            0                                       341.53                                            -                                       355.24                                            -                                            -                                      355.492
 "SDL_FULLSCREEN|\nSDL_HWSURFACE|\nSDL_DOUBLEBUF"                                            0                                      393.082                                            -                                      392.619                                            -                                            -                                      392.619
